,Time,Distance,Commercial ,Industrial,Public_service,Residential 
1,0,0,167893,122563,198079,1321990
1,0,0,24105.5,79692.3,114453,1358780
1,0,0,60371.4,150522,304551,425543
1,0,0,646379,0,349470,793408
1,0,0,0,3601.57,620089,878701
1,0,0,25963.2,1307190,99995.3,18200.7
1,0,0,17092.5,50911.3,49005.9,379697
1,0,0,214372,69567.2,557720,980628
1,0,0,37549,22689.2,52884.4,647565
1,0,0,295680,119837,258852,1683890
1,0,0,31996.6,1335.57,361264,474662
1,0,0,0,0,0,0
1,0,0,0,437580,5379.73,59965.7
1,0,0,0,15700.4,382848,259053
1,0,0,12051.6,345261,0,61791.1
1,0,0,0,0,11377.5,17391.1
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,120331,108367,292150,1445760
1,0,0,36016.6,210123,164059,967963
1,0,0,137202,98889.7,153237,1585630
1,0,0,0,0,7862.75,432764
1,0,0,30558.3,103076,353827,616586
1,0,0,86374.7,0,0,141610
1,0,0,20647.4,106567,17071.6,669011
1,0,0,0,2063.24,0,296441
1,0,0,24842.8,141331,16911.6,264718
1,0,0,45794.8,306650,65699,787030
1,0,0,0,4266.36,598831,604113
1,0,0,29958.4,28521.8,153180,365268
1,0,0,37778.9,403694,0,198284
1,0,0,3644.33,45838.9,0,0
1,0,0,121000,265949,96572.2,901450
1,0,0,0,0,0,0
1,0,0,100745,276751,176759,1298840
1,0,0,64964.6,85747.5,0,39137.7
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,0,0,0,0
1,0,0,381805,11129.5,422714,1440380
1,0,0,322525,406969,144748,1493290
1,0,0,125406,92495.1,212737,1346820
1,0,0,485319,593514,9514.92,376785
1,0,0,0,0,0,0
1,0,0,0,37400.3,2923.16,99268.2
1,0,0,11171.3,9368.12,1073390,619733
1,0,0,11798.3,254653,74649.9,250714
1,1,0,128511,122563,237461,1321990
1,1,0,113245,154123,199141,1636920
1,1,0,24776.9,0,370142,652534
1,1,0,540981,150522,482190,802251
